GENENAME;TYPE;PMID;OMIMGENE;ORIGINALENTRY;OMIMDISEASE
A1CF;Cayler cardiofacial syndrome;17357067;125520;Cayler cardiofacial syndrome (2);0
A2M;Alpha-2-macroglobulin deficiency;17357067;103950;Alpha-2-macroglobulin deficiency, 614036 (1);614036
A2M;Alzheimer disease, susceptibility to;17357067;103950;{Alzheimer disease, susceptibility to}, 104300 (3);104300
A4GALT;Blood group, P1Pk system, P(2) phenotype;17357067;607922;[Blood group, P1Pk system, P(2) phenotype], 111400 (3);111400
A4GALT;Blood group, P1Pk system, p phenotype;17357067;607922;[Blood group, P1Pk system, p phenotype], 111400 (3);111400
A4GALT;NOR polyagglutination syndrome;17357067;607922;NOR polyagglutination syndrome, 111400 (3);111400
AAAS;Achalasia-addisonianism-alacrimia syndrome;17357067;605378;Achalasia-addisonianism-alacrimia syndrome, 231550 (3);231550
AAGAB;Keratoderma, palmoplantar, punctate type IA;17357067;614888;Keratoderma, palmoplantar, punctate type IA, 148600 (3);148600
AANAT;Delayed sleep phase syndrome, susceptibility to;17357067;600950;{Delayed sleep phase syndrome, susceptibility to}, 614163 (3);614163
AARS;Charcot-Marie-Tooth disease, axonal, type 2N;17357067;601065;Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3);613287
AARS;Epileptic encephalopathy, early infantile, 29;17357067;601065;Epileptic encephalopathy, early infantile, 29, 616339 (3);616339
AARS2;Combined oxidative phosphorylation deficiency 8;17357067;612035;Combined oxidative phosphorylation deficiency 8, 614096 (3);614096
AARS2;Leukoencephalopathy, progressive, with ovarian failure;17357067;612035;Leukoencephalopathy, progressive, with ovarian failure, 615889 (3);615889
AASS;Hyperlysinemia;17357067;605113;Hyperlysinemia, 238700 (3);238700
AASS;Saccharopinuria;17357067;605113;Saccharopinuria, 268700 (1);268700
ABAT;GABA-transaminase deficiency;17357067;137150;GABA-transaminase deficiency, 613163 (3);613163
ABCA1;Coronary artery disease in familial hypercholesterolemia, protection against;17357067;600046;{Coronary artery disease in familial hypercholesterolemia, protection against}, 143890 (3);143890
ABCA1;HDL deficiency, type 2;17357067;600046;HDL deficiency, type 2, 604091 (3);604091
ABCA1;Tangier disease;17357067;600046;Tangier disease, 205400 (3);205400
ABCA12;Ichthyosis, autosomal recessive 4B (harlequin);17357067;607800;Ichthyosis, autosomal recessive 4B (harlequin), 242500 (3);242500
ABCA12;Ichthyosis, congenital, autosomal recessive 4A;17357067;607800;Ichthyosis, congenital, autosomal recessive 4A, 601277 (3);601277
ABCA3;Surfactant metabolism dysfunction, pulmonary, 3;17357067;601615;Surfactant metabolism dysfunction, pulmonary, 3, 610921 (3);610921
ABCA4;Cone-rod dystrophy 3;17357067;601691;Cone-rod dystrophy 3, 604116 (3);604116
ABCA4;Fundus flavimaculatus;17357067;601691;Fundus flavimaculatus, 248200 (3);248200
