GENENAME;MENTRETARD;DEVDELAY
AAAS;0;1
AASS;1;1
ABAT;1;0
ABCB11;0;1
ABCB6;0;1
ABCB7;0;1
ABCC6;0;1
ABCC8;1;0
ABCC9;0;1
ABCD1;1;1
ABCD4;0;1
ABHD5;1;1
ACAD9;0;1
ACADM;0;1
ACADS;0;1
ACADVL;0;1
ACAN;0;1
ACAT1;0;1
ACBD6;1;1
ACO2;0;1
ACOX1;1;1
ACP5;0;1
ACSL4;1;1
ACTA2;0;1
ACTB;0;1
ACTG1;0;1
ACVR1;0;1
ACVR2B;0;1
ACY1;0;1
ADA;1;1
ADAMTS18;0;1
ADAR;0;1
ADAT3;1;0
ADCK3;0;1
ADK;1;1
ADNP;0;1
ADRA2B;1;1
ADSL;1;1
AFF2;1;1
AFG3L2;0;1
AGA;1;1
AGK;0;1
AGL;0;1
AGO1;1;0
AGPS;0;1
AGTR2;1;1
AGXT;0;1
AHDC1;0;1
AHI1;1;0
AIFM1;0;1
AIMP1;0;1
AIPL1;0;1
AIRE;0;1
AK1;1;0
AK2;0;1
AKT1;0;1
AKT3;0;1
ALAD;0;1
ALDH18A1;1;1
ALDH1A3;0;1
ALDH3A2;1;1
ALDH4A1;1;1
ALDH5A1;1;1
ALDH7A1;0;1
ALDOA;1;1
ALDOB;0;1
ALG1;0;1
ALG11;0;1
ALG12;1;1
ALG13;0;1
ALG2;1;1
ALG3;1;1
ALG6;1;1
ALG8;0;1
ALG9;0;1
ALMS1;0;1
ALPL;0;1
ALX1;0;1
ALX3;0;1
ALX4;0;1
AMER1;0;1
AMPD2;0;1
AMT;1;1
ANKH;0;1
ANKRD11;0;1
ANKRD26;0;1
ANO5;0;1
ANTXR1;0;1
AP1S2;1;1
AP4B1;0;1
AP4E1;1;1
AP4M1;1;1
AP4S1;0;1
APOPT1;0;1
APTX;0;1
AR;0;1
ARFGEF2;1;1
ARG1;1;1
ARHGAP31;0;1
ARHGEF6;1;1
ARHGEF9;1;1
ARID1A;1;1
ARID1B;1;1
ARIH1;1;0
ARL14EP;1;1
ARL6;0;1
ARMC4;0;1
ARSA;1;1
ARSB;0;1
ARSE;0;1
ARX;1;1
ASAH1;1;1
ASCC3;1;1
ASCL1;1;1
ASH1L;1;1
ASL;1;1
ASPA;1;1
ASPH;0;1
ASPM;1;1
ASS1;1;1
ASXL1;0;1
ASXL3;0;1
ATIC;0;1
ATM;0;1
ATN1;1;0
ATOH7;0;1
ATP13A2;0;1
ATP1A3;0;1
ATP2A2;1;0
ATP6AP2;1;1
ATP6V1B1;0;1
ATP7A;1;1
ATP8B1;0;1
ATR;1;1
ATRX;1;1
AUH;0;1
AUTS2;1;1
AVPR2;1;0
AXIN1;0;1
B3GALNT2;0;1
B3GALT6;0;1
B4GALT1;1;0
B4GALT7;1;1
