## gencode.genes
## GENCODE protein coding genes, combined with entrez id's from GENCODE, and combined with Ensembl product description and transcript type from https://www.ensembl.org/biomart
## GRCh37/hg19, date: 2018-03-27, evidence-based annotation of the human genome, version 28 (Ensembl 92), mapped to GRCh37 with gencode-backmap
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 19724 entries. Columns: 9
#chr	bp1	bp2	geneName	entrez	ensembl	ttype	strand	product
chrX	99882106	99894988	TSPAN6	7105	ENSG00000000003.14_3	protein_coding	-	"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
chrX	99839799	99854882	TNMD	64102	ENSG00000000005.5_3	protein_coding	+	"tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]"
chr20	49551404	49575092	DPM1	8813	ENSG00000000419.12_3	protein_coding	-	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
chr1	169818772	169863408	SCYL3	57147	ENSG00000000457.13_4	protein_coding	-	"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
chr1	169631245	169823221	C1orf112	55732	ENSG00000000460.16_5	protein_coding	+	"chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
chr1	27938575	27961788	FGR	2268	ENSG00000000938.12_3	protein_coding	-	"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
chr1	196621008	196716634	CFH	3075	ENSG00000000971.15_3	protein_coding	+	"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
chr6	143815948	143832827	FUCA2	2519	ENSG00000001036.13_3	protein_coding	-	"alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
chr6	53362139	53481768	GCLC	2729	ENSG00000001084.11_4	protein_coding	-	"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
chr6	41040684	41067715	NFYA	4800	ENSG00000001167.14_4	protein_coding	+	"nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
