## omim
## OMIM genes, Online Mendelian Inheritance in Man
## hg19, source=gm.omim created=23MAY2016:19:02:25
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 5935 entries. Columns: 7
#chr	bp1	bp2	geneName	OMIMgene	OMIMdisease	type
chr10	52559169	52645435	A1CF	125520	0	"Cayler cardiofacial syndrome"
chr12	9220260	9268825	A2M	103950	614036	"Alpha-2-macroglobulin deficiency"
chr12	9220260	9268825	A2M	103950	104300	"Alzheimer disease, susceptibility to"
chr22	43088127	43117304	A4GALT	607922	111400	"Blood group, P1Pk system, P(2) phenotype"
chr22	43088127	43117304	A4GALT	607922	111400	"Blood group, P1Pk system, p phenotype"
chr22	43088127	43117304	A4GALT	607922	111400	"NOR polyagglutination syndrome"
chr12	53701240	53718648	AAAS	605378	231550	"Achalasia-addisonianism-alacrimia syndrome"
chr15	67493371	67547533	AAGAB	614888	148600	"Keratoderma, palmoplantar, punctate type IA"
chr16	70286198	70323446	AARS	601065	613287	"Charcot-Marie-Tooth disease, axonal, type 2N"
chr16	70286198	70323446	AARS	601065	616339	"Epileptic encephalopathy, early infantile, 29"
chr6	44267391	44281063	AARS2	612035	614096	"Combined oxidative phosphorylation deficiency 8"
chr6	44267391	44281063	AARS2	612035	615889	"Leukoencephalopathy, progressive, with ovarian failure"
chr7	121715701	121784334	AASS	605113	238700	"Hyperlysinemia"
chr7	121715701	121784334	AASS	605113	268700	"Saccharopinuria"
chr16	8768422	8878432	ABAT	137150	613163	"GABA-transaminase deficiency"
chr9	107543283	107690518	ABCA1	600046	143890	"Coronary artery disease in familial hypercholesterolemia, protection against"
chr9	107543283	107690518	ABCA1	600046	604091	"HDL deficiency, type 2"
chr9	107543283	107690518	ABCA1	600046	205400	"Tangier disease"
chr2	215796266	216003151	ABCA12	607800	242500	"Ichthyosis, autosomal recessive 4B (harlequin)"
chr2	215796266	216003151	ABCA12	607800	601277	"Ichthyosis, congenital, autosomal recessive 4A"
chr16	2325882	2390747	ABCA3	601615	610921	"Surfactant metabolism dysfunction, pulmonary, 3"
chr1	94458393	94586688	ABCA4	601691	604116	"Cone-rod dystrophy 3"
chr1	94458393	94586688	ABCA4	601691	248200	"Fundus flavimaculatus"
chr1	94458393	94586688	ABCA4	601691	153800	"Macular degeneration, age-related, 2"
chr1	94458393	94586688	ABCA4	601691	248200	"Retinal dystrophy, early-onset severe"
chr1	94458393	94586688	ABCA4	601691	601718	"Retinitis pigmentosa 19"
chr1	94458393	94586688	ABCA4	601691	248200	"Stargardt disease 1"
chr19	1040102	1065571	ABCA7	605414	608907	"Alzheimer disease 9, susceptibility to"
chr7	87133175	87342611	ABCB1	171050	120080	"Colchicine resistance"
chr7	87133175	87342611	ABCB1	171050	612244	"Inflammatory bowel disease 13"
chr2	169779448	169887832	ABCB11	603201	605479	"Cholestasis, benign recurrent intrahepatic, 2"
chr2	169779448	169887832	ABCB11	603201	601847	"Cholestasis, progressive familial intrahepatic 2"
chr7	87031013	87109751	ABCB4	171060	614972	"Cholestasis, intrahepatic, of pregnancy, 3"
chr7	87031013	87109751	ABCB4	171060	602347	"Cholestasis, progressive familial intrahepatic 3"
chr7	87031013	87109751	ABCB4	171060	600803	"Gallbladder disease 1"
chr2	220074490	220083712	ABCB6	605452	111600	"Blood group, Langereis system"
chr2	220074490	220083712	ABCB6	605452	615402	"Dyschromatosis universalis hereditaria 3"
chr2	220074490	220083712	ABCB6	605452	614497	"Microphthalmia, isolated, with coloboma 7"
chr2	220074490	220083712	ABCB6	605452	609153	"Pseudohyperkalemia, familial, 2, due to red cell leak"
chrX	74273115	74376567	ABCB7	300135	301310	"Anemia, sideroblastic, with ataxia"
chr16	48200821	48281479	ABCC11	607040	117800	"Axillary odor, variation in"
chr16	48200821	48281479	ABCC11	607040	117800	"Colostrum secretion, variation in"
chr16	48200821	48281479	ABCC11	607040	117800	"Earwax, wet/dry"
chr10	101542489	101611949	ABCC2	601107	237500	"Dubin-Johnson syndrome"
chr16	16242785	16317379	ABCC6	603234	614473	"Arterial calcification, generalized, of infancy, 2"
chr16	16242785	16317379	ABCC6	603234	264800	"Pseudoxanthoma elasticum"
chr16	16242785	16317379	ABCC6	603234	177850	"Pseudoxanthoma elasticum, forme fruste"
chr11	17414432	17498449	ABCC8	600509	125853	"Diabetes mellitus, noninsulin-dependent"
chr11	17414432	17498449	ABCC8	600509	606176	"Diabetes mellitus, permanent neonatal"
chr11	17414432	17498449	ABCC8	600937	606176	"Diabetes mellitus, permanent neonatal, with neurologic features"
chr11	17414432	17498449	ABCC8	600509	610374	"Diabetes mellitus, transient neonatal 2"
chr11	17414432	17498449	ABCC8	600937	610582	"Diabetes mellitus, transient neonatal, 3"
