## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr10	52559169	52645435	A1CF	A1cf	"cellular;mortality/aging"
chr22	43088127	43117304	A4GALT	A4galt	"behavior/neurological;homeostasis/metabolism;mortality/aging"
chr12	53701240	53718648	AAAS	Aaas	"behavior/neurological;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;nervous system;reproductive system"
chr4	170981373	171012850	AADAT	Aadat	"behavior/neurological;nervous system;vision/eye"
chr16	70286198	70323446	AARS	Aars	"behavior/neurological;integument;nervous system"
chr17	35306175	35414171	AATF	Aatf	"cellular;embryogenesis;growth/size;mortality/aging"
chr9	107543283	107690518	ABCA1	Abca1	"cardiovascular system;cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;other;renal/urinary system;reproductive system;respiratory system"
chr2	215796266	216003151	ABCA12	Abca12	"behavior/neurological;cardiovascular system;cellular;craniofacial;growth/size;homeostasis/metabolism;integument;mortality/aging;respiratory system"
chr9	139901686	139923367	ABCA2	Abca2	"behavior/neurological;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;reproductive system"
chr16	2325882	2390747	ABCA3	Abca3	"behavior/neurological;cardiovascular system;homeostasis/metabolism;mortality/aging;renal/urinary system;respiratory system"
chr1	94458393	94586688	ABCA4	Abca4	"cardiovascular system;homeostasis/metabolism;nervous system;no phenotypic analysis;pigmentation;vision/eye"
chr17	67240452	67323385	ABCA5	Abca5	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle;vision/eye"
chr19	1040102	1065571	ABCA7	Abca7	"adipose tissue;homeostasis/metabolism;renal/urinary system"
