## gwas.catalog
## NHGRI/EBI GWAS catalog, gwsig findings
## GRCh37/hg19, source=gwas_catalog_v1.0.2-associations_e92_r2018-05-03.tsv from https://www.ebi.ac.uk/gwas/docs/file-downloads, new GRCh37/hg19 bp coordinates from Ensembl rest api http://grch37.rest.ensembl.org/variation/human/
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 28500 entries. Columns: 7
#chr	bp1	bp2	snpid	pvalue	pmid	trait
chr7	92408329	92408329	rs8	8e-10	27863252	"Sum eosinophil basophil counts"
chr8	19813180	19813180	rs264	6e-12	29212778	"Coronary artery disease"
chr8	19813529	19813529	rs268	2e-12	22399527	"Metabolic syndrome"
chr8	19816238	19816238	rs295	2e-09	21386085	"Metabolic syndrome"
chr8	19816934	19816934	rs301	3e-11	21386085	"Metabolic syndrome (bivariate traits)"
chr8	19819328	19819328	rs325	8e-26	20864672	"HDL cholesterol"
chr8	19819439	19819439	rs326	5e-12	18193046	"Triglycerides"
chr8	19819724	19819724	rs328	1e-09	22171074	"Triglycerides"
chr8	19819724	19819724	rs328	2e-28	18193044	"Triglycerides"
chr8	19819724	19819724	rs328	3e-10	24386095	"Lipid traits"
chr8	19819724	19819724	rs328	2e-14	24386095	"Lipid traits"
chr8	19819724	19819724	rs328	9e-23	18193044	"HDL cholesterol"
chr8	19820405	19820405	rs331	1e-14	19936222	"Lipid metabolism phenotypes"
chr8	19820405	19820405	rs331	1e-11	19936222	"Lipid metabolism phenotypes"
chr8	19820405	19820405	rs331	1e-17	19936222	"Lipid metabolism phenotypes"
chr8	19820405	19820405	rs331	3e-14	19936222	"Lipid metabolism phenotypes"
chr11	5248232	5248232	rs334	9e-13	29381699	"Severe malaria"
chr11	5248232	5248232	rs334	1e-10	28453575	"Hematocrit"
chr11	5248232	5248232	rs334	3e-10	27650483	"Urinary albumin-to-creatinine ratio"
chr11	5248232	5248232	rs334	1e-22	28453575	"Mean corpuscular volume"
chr11	5248232	5248232	rs334	8e-12	27650483	"Urinary albumin-to-creatinine ratio"
chr7	92408370	92408370	rs445	1e-58	27863252	"Neutrophil count"
chr7	92408370	92408370	rs445	5e-31	27863252	"White blood cell count (basophil)"
chr7	92408370	92408370	rs445	2e-65	27863252	"White blood cell count"
chr7	92408370	92408370	rs445	9e-11	25096241	"White blood cell count"
chr7	92408370	92408370	rs445	5e-30	27863252	"Sum eosinophil basophil counts"
chr7	92408370	92408370	rs445	2e-12	27863252	"Neutrophil percentage of white cells"
chr7	92408370	92408370	rs445	5e-60	27863252	"Sum basophil neutrophil counts"
chr7	92408370	92408370	rs445	2e-18	27863252	"Eosinophil counts"
chr7	92408370	92408370	rs445	3e-73	27863252	"Myeloid white cell count"
chr7	92408370	92408370	rs445	2e-27	27863252	"Lymphocyte percentage of white cells"
chr7	92408370	92408370	rs445	4e-59	27863252	"Monocyte count"
chr7	92408370	92408370	rs445	4e-64	27863252	"Sum neutrophil eosinophil counts"
chr7	92408370	92408370	rs445	7e-10	21738478	"White blood cell types"
chr7	92408370	92408370	rs445	2e-65	27863252	"Granulocyte count"
chr12	112241766	112241766	rs671	3e-24	19698717	"Esophageal cancer"
chr12	112241766	112241766	rs671	1e-16	24277619	"Alcohol consumption (maxi-drinks)"
chr12	112241766	112241766	rs671	4e-211	21372407	"Drinking behavior"
chr12	112241766	112241766	rs671	7e-10	20139978	"Mean corpuscular hemoglobin concentration"
chr12	112241766	112241766	rs671	2e-23	26174136	"Serum alpha1-antitrypsin levels"
chr12	112241766	112241766	rs671	5e-28	28371326	"Metabolic syndrome"
chr12	112241766	112241766	rs671	3e-10	22797727	"Renal function-related traits (sCR)"
chr12	112241766	112241766	rs671	5e-09	20139978	"Hematological and biochemical traits"
chr12	112241766	112241766	rs671	3e-11	24861553	"Body mass index"
chr12	112241766	112241766	rs671	2e-72	28485404	"Alcohol consumption (drinkers vs non-drinkers)"
chr12	112241766	112241766	rs671	2e-34	21971053	"Coronary heart disease"
chr12	112241766	112241766	rs671	5e-26	24277619	"Response to alcohol consumption (flushing response)"
chr11	2182224	2182224	rs689	5e-196	21829393	"Type 1 diabetes"
chr2	21232195	21232195	rs693	9e-23	19060911	"Cholesterol, total"
chr2	21232195	21232195	rs693	1e-21	18193044	"LDL cholesterol"
chr2	21232195	21232195	rs693	3e-11	19060910	"LDL cholesterol"
chr2	21232195	21232195	rs693	4e-17	19060911	"LDL cholesterol"
chr14	35871093	35871093	rs696	5e-13	27863252	"Lymphocyte counts"
chr17	26694861	26694861	rs704	1e-09	25080503	"Osteoprotegerin levels"
chr2	211543055	211543055	rs715	4e-16	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	2e-147	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	3e-25	26352407	"Urinary metabolites"
chr2	211543055	211543055	rs715	9e-14	28107422	"Fibrinogen levels"
chr2	211543055	211543055	rs715	1e-15	28250457	"Macular telangiectasia type 2"
chr2	211543055	211543055	rs715	2e-13	28107422	"Fibrinogen levels"
chr2	211543055	211543055	rs715	1e-11	27588450	"Glomerular filtration rate"
chr2	211543055	211543055	rs715	3e-50	23378610	"Metabolite levels"
chr2	211543055	211543055	rs715	3e-09	27863252	"Eosinophil percentage of granulocytes"
chr2	211543055	211543055	rs715	3e-11	26068415	"Amino acid levels"
chr2	211543055	211543055	rs715	2e-19	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	3e-21	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	2e-11	23969696	"Fibrinogen"
chr2	211543055	211543055	rs715	1e-09	27863252	"Plateletcrit"
chr2	211543055	211543055	rs715	8e-31	26352407	"Urinary metabolites"
chr2	211543055	211543055	rs715	7e-58	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	4e-10	27863252	"Eosinophil percentage of white cells"
chr2	211543055	211543055	rs715	7e-35	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	4e-16	26561523	"Fibrinogen levels"
chr2	211543055	211543055	rs715	2e-16	24816252	"Blood metabolite levels"
chr2	211543055	211543055	rs715	1e-24	24816252	"Blood metabolite levels"
chr5	131996500	131996500	rs848	5e-09	25608926	"Alopecia areata"
chr5	131996500	131996500	rs848	2e-24	29083406	"Allergic disease (asthma, hay fever or eczema)"
chr13	46627480	46627480	rs940	1e-27	29378355	"Thrombin-activatable fibrinolysis inhibitor activation peptide"
chr13	46627439	46627439	rs1087	3e-29	29378355	"Thrombin-activatable fibrinolysis inhibitor levels"
chr7	104756326	104756326	rs1142	1e-09	26691988	"Advanced age-related macular degeneration"
chr2	87002229	87002229	rs1193	5e-15	27863252	"High light scatter reticulocyte percentage of red cells"
chr2	87002229	87002229	rs1193	9e-15	27863252	"High light scatter reticulocyte count"
chr2	87002229	87002229	rs1193	1e-09	27863252	"Immature fraction of reticulocytes"
chr14	94844843	94844843	rs1303	5e-48	22916037	"Metabolite levels"
chr11	17316029	17316029	rs1330	5e-09	20881960	"Height"
chr11	65337251	65337251	rs1346	7e-11	25631615	"Optic cup area"
chr11	65337251	65337251	rs1346	5e-13	25241763	"Vertical cup-disc ratio"
chr11	65337251	65337251	rs1346	9e-11	28073927	"Optic cup area"
chr11	65337251	65337251	rs1346	2e-12	28073927	"Optic cup area"
chr11	65337251	65337251	rs1346	3e-17	28073927	"Vertical cup-disc ratio"
chr11	65337251	65337251	rs1346	2e-09	25631615	"Optic cup area"
chr11	65337251	65337251	rs1346	8e-18	28073927	"Vertical cup-disc ratio"
chr2	27424636	27424636	rs1395	8e-11	24816252	"Blood metabolite levels"
chr6	31350704	31350704	rs1521	2e-65	21841780	"Graves' disease"
chr11	61597972	61597972	rs1535	1e-43	28334899	"Total cholesterol levels"
chr11	61597972	61597972	rs1535	8e-18	26068415	"Glycerophospholipid levels"
