## id.devdelay.genes
## ID genes from OMIM, HUGO, multiple reviews; DD genes from DECIPHER
## hg19, source=gm.id_devdelay created=10JUL2015:19:02:49
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 1518 entries. Columns: 5
#chr	bp1	bp2	geneName	type
chr12	53701240	53718648	AAAS	"developmental delay"
chr7	121715701	121784334	AASS	"intellectual disability // developmental delay"
chr16	8768422	8878432	ABAT	"intellectual disability"
chr2	169779448	169887832	ABCB11	"developmental delay"
chr2	220074490	220083712	ABCB6	"developmental delay"
chrX	74273115	74376567	ABCB7	"developmental delay"
chr16	16242785	16317379	ABCC6	"developmental delay"
chr11	17414432	17498449	ABCC8	"intellectual disability"
chr12	21950335	22094336	ABCC9	"developmental delay"
chrX	152990323	153010216	ABCD1	"intellectual disability // developmental delay"
chr14	74752126	74769759	ABCD4	"developmental delay"
chr3	43731605	43775863	ABHD5	"intellectual disability // developmental delay"
chr3	128598439	128634910	ACAD9	"developmental delay"
chr1	76190036	76253260	ACADM	"developmental delay"
chr12	121163538	121177811	ACADS	"developmental delay"
chr17	7120444	7128592	ACADVL	"developmental delay"
chr15	89346674	89418585	ACAN	"developmental delay"
chr11	107992243	108018503	ACAT1	"developmental delay"
chr1	180244515	180472089	ACBD6	"intellectual disability // developmental delay"
chr22	41865129	41924993	ACO2	"developmental delay"
chr17	73937588	73975515	ACOX1	"intellectual disability // developmental delay"
chr19	11685475	11689823	ACP5	"developmental delay"
chrX	108867473	108976632	ACSL4	"intellectual disability // developmental delay"
chr10	90694831	90751147	ACTA2	"developmental delay"
chr7	5566782	5603415	ACTB	"developmental delay"
chr17	79476997	79490873	ACTG1	"developmental delay"
chr2	158592958	158732374	ACVR1	"developmental delay"
chr3	38495342	38534633	ACVR2B	"developmental delay"
chr3	52009066	52023213	ACY1	"developmental delay"
chr20	43248163	43280874	ADA	"intellectual disability // developmental delay"
chr16	77281710	77469011	ADAMTS18	"developmental delay"
chr1	154554538	154600475	ADAR	"developmental delay"
chr19	1905377	1913444	ADAT3	"intellectual disability"
chr1	227085237	227175246	ADCK3	"developmental delay"
chr10	75910960	76469061	ADK	"intellectual disability // developmental delay"
chr20	49505585	49547958	ADNP	"developmental delay"
chr2	96778707	96781984	ADRA2B	"intellectual disability // developmental delay"
chr22	40742507	40786467	ADSL	"intellectual disability // developmental delay"
chrX	147582139	148082193	AFF2	"intellectual disability // developmental delay"
chr18	12328943	12377313	AFG3L2	"developmental delay"
chr4	178351924	178363657	AGA	"intellectual disability // developmental delay"
chr7	141250989	141355044	AGK	"developmental delay"
chr1	100315640	100389579	AGL	"developmental delay"
chr1	36335409	36395211	AGO1	"intellectual disability"
chr2	178257372	178408564	AGPS	"developmental delay"
chrX	115301975	115306225	AGTR2	"intellectual disability // developmental delay"
chr2	241807896	241819919	AGXT	"developmental delay"
chr1	27860546	27930942	AHDC1	"developmental delay"
chr6	135604670	135818914	AHI1	"intellectual disability"
chrX	129263337	129299861	AIFM1	"developmental delay"
chr4	107236701	107270383	AIMP1	"developmental delay"
chr17	6297013	6338519	AIPL1	"developmental delay"
chr21	45705721	45718531	AIRE	"developmental delay"
chr9	130628759	130640022	AK1	"intellectual disability"
chr1	33473585	33546597	AK2	"developmental delay"
chr14	105235686	105262088	AKT1	"developmental delay"
chr1	243651535	244014381	AKT3	"developmental delay"
chr9	116148597	116163613	ALAD	"developmental delay"
chr10	97365696	97416463	ALDH18A1	"intellectual disability // developmental delay"
chr15	101417919	101456831	ALDH1A3	"developmental delay"
